Date;Rating;Content;Auteur;ResponseMonoprix
2025-01-20 00:00:00;1;impossible de commander sur le site qui ne fonctionne pas depuis le début des soldes. Le service client est incapable de trouver une solution. Mais vu les avis négatifs des clients cela ne donne pas envie de commander.;SRAP;True
2025-01-26 00:00:00;1;livraison qui arrive avec la moitié des produits. Livraison un dimanche annulée à la dernière minute. Service déplorable.;Idas;True
2025-01-10 00:00:00;5;Bonne année ana je te souhaite que le meilleur  Merci pour l'accueil tu es très très aimable souriante les patients avec les clients et les sandwichs j'adore.A bientôtMerci;Goutte Dor;True
2024-11-17 00:00:00;4;Un problème de debit : montant prélèvé 2 fois sur les machines automatiques . Les caissières qui sont la depuis longtemps ont ete tres reacives et aimables .Il N?En n?a Pas Été de Même D?un Responsable Rémi , pendant mes explications ?.;gg;False
2024-11-14 00:00:00;1;J?ai commandé les bougeoirs de la collection Axel Chay x MonoprixL?un des bougeoir est arrivée complètement piqué / rouillé ?Les collaborations avec des designer peuvent faire rêver mais que de nom car la qualité n?est clairement pas au rdv. Très déçu;Melanie;False
2024-12-20 00:00:00;1;Commande passée le 13 décembre toujours pas de nouvelle alors que c?est noté livraison le 16Mail au service client aucune réponseJ?ai appelé aussi le service client qui ne répond jamais !!!!!;Alexandra Deloison;True
2024-12-04 00:00:00;2;Caissières très compétentes. Mais les jeunes que vous employez aux rayons vêtements vous ignorent. Manque de sourires et d'amabilité indispensables pour retenir un client.;Cottenceau;True
2024-08-13 00:00:00;5;Très bon accueil. Personnel souriant, aimable et toujours prêt pour nous diriger e nous aider dans le magasin.Côté Déco vraiment sympa ainsi que la partie vestimentaire.Il est propre.Vraiment merci à toute l'équipe, continuez.Valérie DUBOIS;Valérie D. c. G.;False
2024-12-10 00:00:00;1;Commande validé avec disponibilité OK le 03/12, avec une livraison entre le 5 et le 10/12... SAUF que le 10/12 on m'envoi un mail d'annulation car pas de stock. Mensonge, nul et je ne recommande pas du tout !;Julien D;True
2024-12-08 00:00:00;4;BonjourJe ne suis pas d accord avec les avis que j ai pu lireJe vous invite à comparer, les détracteurs d aujourd'hui seront les premiers à regretter si monop fermait les portesDonc de la retenueMerci de votre écouteBien à vous;Dominique Descombes;True
2024-05-27 00:00:00;1;Protège-matelas molletonné bio d'une qualité déplorable (des peluches qui infestent tout le lit et la chambre) et d'un prix excessif. Les housses de couette et les draps sont du même acabit (quasi transparents à force d'être fins);M Flo;False
2024-04-27 00:00:00;2;J?avais reçu des chèques en dédommagements d?un produit défectueux. La date a expirée je les contacte afin qu?ils soient prolongés ce qui en soi si la volonté est de reparer leur erreur se fait, refus de leur part. Déçu a éviter;Jennifer;False
2024-04-14 00:00:00;1;J?ai acheté un plat de nouilles préparé ce matin au rayon sushi/asiatiqueJe l?ai mangé à midi et suis maintenant tellement malade que je ne peux pas sortir de chez moiJ?ai essayé d?appeler plusieurs fois pour prévenir mais personne ne réponds;Sophie Jasinski;False
2024-02-22 00:00:00;1;Lamentable la nouvelle politique de comamnde en ligne chez MONOPRIX!!!Impoosible de commander plus de 3 packs de boissons, je ne suis plus client de votre enseigne désormais, INTERMARCHE et SUPER U gagnent de nouveaux clients!Du grand n'importequoi!;dina fatine;False
2024-04-12 00:00:00;1;Monoprix Issy les Moulineaux : nulPersonne à l?accueil, ça ne gêne personne visiblement, on attend comme des idiots ! Bravo la qualitéJe ne remettrai plus les pieds vu la considération que l?on porte aux clients !;Didier R.;False
2023-11-12 00:00:00;1;Une honte ce magasin toujours sale la queue le dimanche car deux caisses automatiques ouvertes seulement à quoi bon ouvrir ? Et vu les prix élevés pratiqués on s?attendrait à un service plus qualitatif !;Barbara Benassaya;False
2024-12-09 00:00:00;1;commande passée le 29/11annoncé livrée sous 4 jours ouvrés (en boutique)12 JOURS  plus tard la commande n'est même pas préparée !Faut changer de métier : si on ne sait pas faire de e-com on reste épicier de rue et puis c'est tout !;Romain Chzt;True
2024-01-25 00:00:00;5;Monoprix Rouen : la personne à l'accueil de ce magasin est d'une gentillesse extrème , cela fait du bien de rencontrer une telle personne . Je crois avoir entendue son prénom et je me permets de le dire Virginie . Merci;david aublé;False
2024-10-15 00:00:00;5;L'équipe de caisse de Monoprix villeurbanne est exceptionnelle !! Très agréable et très efficace surtout une dame qui s'appelle Arame !!;Nadia Sunshine;False
2023-10-27 00:00:00;1;Monoprix levallois le soir 20 h 30 23 oct 20231 seul caissier parle en arabe avec une cliente et amdoula à chaque produit soit 15 fois. Parle un Français basique à peine compréhensible. Paiement autonome ne fonctionnait pas;loterstein;False
2024-01-10 00:00:00;5;Des équipes au coeur de la relation clients accueillant et poli un magasin où on trouve tout et la livraison a domicile c'est canon je recommande !Merci Monoprix Cannes;Ced C;False
2024-06-22 00:00:00;5;Agréablement surprise pour une première visite. Magasin clair, bien rangé, joli coin vêtements à des petits prix. Je reviendrais.;Suzanna Aradszki;False
2024-10-21 00:00:00;1;Monoprix de saint mande à fuir ? des queues inimaginables aux caisses à tous les étages , du bazar dans tous les rayons ?. À quand du personnel de qualité pour une telle enseigne ?;Sandrine Bianco;False
2023-11-12 00:00:00;5;Monoprix Plus à Paris,j'achète en ligne depuis quelques temps, service de livraison impeccable, excellent service client, large choix de produits! Merci;Bruno Leopardi;False
2024-05-29 00:00:00;1;J utilise souvent l appli ou le site Monoprix.fr mais je n'ai jamais  vu une appli aussi lente. Ça rame tellement que parfois je renonce.J ai déjà essayé de réinstaller. Rien à  faire.;M F;False
2024-08-11 00:00:00;3;le personnel à la caisse est limite aimableun employé qui met en rayon des produits frais est sale sur luile magasin est beau, mais le personnel fait très mauvaise impression;Laurence Chouipe;False
2024-04-28 00:00:00;1;Sur un filet d orange à jus, 4 sont réellement pourries, à jeter, du coup il ne me reste plus grand chose dans mon filet, ceci se reproduit régulièrement depuis quelques semaines ainsi que pour les melons qui sont encore congelés à la vente.;Josyane Beau;False
2024-06-10 00:00:00;1;J?ai acheté des avocats ils étaient tous pourri à l'exception d?un seuil avocat donc un avocat m?a coûté 6 euros;tubiste;False
2023-10-06 00:00:00;1;Pensez à bien greffer votre téléphone sur votre oreille car si vous n?êtes pas joignable il vous annule la commande sans même vous prévenir;Myriam;False
2024-04-17 00:00:00;1;La qualité a beaucoup baissé. Textile mal coupé, fils qui dépassent. A ce rythme c'est le dépôt de bilan qui se profile.Acheté deux jeans en ligne made in Tunisia. Dignes de produits chinois bas de gamme;misterlee;False
2024-08-14 00:00:00;1;Magasin totalement désorganiséRayon souvent vide...Pas de reassortAccueil détestable..Effectif très faibleCaissière exécrable..A FUIR;VALERIE PAILLER;False
2024-11-20 00:00:00;1;Achat d'une carte cadeau virtuelle de 60?. Débit effectué sur mon compte, carte jamais reçu !!!!;pelouse;False
2024-12-08 00:00:00;1;Commande passée le 02/12 et toujours pas de nouvelles en dépit de mes tentatives de prise de contact avec le service client?À fuir;Saran Elaphe;True
2023-12-17 00:00:00;1;Monoprix Auxerre :magasin en perdition !Personnel et produits de plus en plus rare.Produits périmés non retirés.Ne fait plus envie;jean cos;False
2024-10-20 00:00:00;3;Je ne reviendrai probablement pas et déconseille fortement, car le rapport qualité-prix n?est plus du tout au rendez-vous.;Roman altay;False
2024-03-20 00:00:00;1;Plus de caissières, que des caisses automatique, et je ne vous dis pas l'accueil de la responsable de ces caisses.Grasse pays du parfum, je pense que cela ne sent pas très bon pour ce magasin.;THOMAS RAHIER;False
2024-06-27 00:00:00;1;Bonjour, j'aimerais savoir pourquoi vos rayons sont tout le temps vide . cordialement.;Dumont;False
